time_hr,solid_pressurizer,bubble_phase,pressure_psia,pzr_level_pct,pzr_mass_lbm,pzr_total_enthalpy_btu,closure_phase_fraction
3.108358,1,NONE,366.371200,100.000000,110527.200000,10120390.000000,0.000000
3.111136,1,NONE,365.756800,100.000000,110527.200000,10120390.000000,0.000000
3.113914,1,NONE,365.202300,100.000000,110527.200000,10120390.000000,0.000000
3.116692,1,NONE,364.494300,100.000000,110527.200000,10120390.000000,0.000000
3.119470,1,NONE,363.862700,100.000000,110527.200000,10120390.000000,0.000000
3.122247,1,NONE,363.310000,100.000000,110527.200000,10120390.000000,0.000000
3.125025,1,NONE,362.703700,100.000000,110527.200000,10120390.000000,0.000000
3.127803,1,NONE,362.169500,100.000000,110527.200000,10120390.000000,0.000000
3.130581,1,NONE,361.693800,100.000000,110527.200000,10120390.000000,0.000000
3.133359,1,NONE,361.306800,100.000000,110527.200000,10120390.000000,0.000000
3.136137,1,NONE,361.052300,100.000000,110527.200000,10120390.000000,0.000000
3.138914,1,NONE,360.915900,100.000000,110527.200000,10120390.000000,0.000000
3.141692,1,NONE,360.882900,100.000000,110527.200000,10120390.000000,0.000000
3.144470,1,NONE,360.963400,100.000000,110527.200000,10120390.000000,0.000000
3.147248,1,NONE,361.144000,100.000000,110527.200000,10120390.000000,0.000000
3.150026,1,NONE,361.413500,100.000000,110527.200000,10120390.000000,0.000000
3.152803,1,NONE,361.755500,100.000000,110527.200000,10120390.000000,0.000000
3.155581,1,NONE,362.145400,100.000000,110527.200000,10120390.000000,0.000000
3.158359,1,NONE,362.561100,100.000000,110527.200000,10120390.000000,0.000000
3.161137,1,NONE,362.983200,100.000000,110527.200000,10120390.000000,0.000000
3.163915,1,NONE,363.390700,100.000000,110527.200000,10120390.000000,0.000000
3.166692,1,NONE,363.764800,100.000000,110527.200000,10120390.000000,0.000000
3.169470,1,NONE,364.356500,100.000000,110527.200000,10120390.000000,0.000000
3.172248,1,NONE,364.884900,100.000000,110527.200000,10120390.000000,0.000000
3.175026,1,NONE,365.553600,100.000000,110527.200000,10120390.000000,0.000000
3.177804,1,NONE,366.145200,100.000000,110527.200000,10120390.000000,0.000000
3.180582,1,NONE,366.808800,100.000000,110527.200000,10120390.000000,0.000000
3.183359,1,NONE,367.396900,100.000000,110527.200000,10120390.000000,0.000000
3.186137,1,NONE,367.915500,100.000000,110527.200000,10120390.000000,0.000000
3.188915,1,NONE,368.372200,100.000000,110527.200000,10120390.000000,0.000000
3.191693,1,NONE,368.739400,100.000000,110527.200000,10120390.000000,0.000000
3.194471,1,NONE,368.982400,100.000000,110527.200000,10120390.000000,0.000000
3.197248,1,NONE,369.115400,100.000000,110527.200000,10120390.000000,0.000000
3.200026,1,NONE,369.125100,100.000000,110527.200000,10120390.000000,0.000000
3.202804,1,NONE,369.025800,100.000000,110527.200000,10120390.000000,0.000000
3.205582,1,NONE,368.830100,100.000000,110527.200000,10120390.000000,0.000000
3.208360,1,NONE,368.549700,100.000000,110527.200000,10120390.000000,0.000000
3.211138,1,NONE,368.201300,100.000000,110527.200000,10120390.000000,0.000000
3.213915,1,NONE,367.808100,100.000000,110527.200000,10120390.000000,0.000000
3.216693,1,NONE,367.390500,100.000000,110527.200000,10120390.000000,0.000000
3.219471,1,NONE,366.971600,100.000000,110527.200000,10120390.000000,0.000000
3.222249,1,NONE,366.571500,100.000000,110527.200000,10120390.000000,0.000000
3.225027,1,NONE,366.208300,100.000000,110527.200000,10120390.000000,0.000000
3.227804,1,NONE,365.633000,100.000000,110527.200000,10120390.000000,0.000000
3.230582,1,NONE,365.123100,100.000000,110527.200000,10120390.000000,0.000000
3.233360,1,NONE,364.477700,100.000000,110527.200000,10120390.000000,0.000000
3.236138,1,NONE,363.910400,100.000000,110527.200000,10120390.000000,0.000000
3.238916,1,NONE,363.274700,100.000000,110527.200000,10120390.000000,0.000000
3.241693,1,NONE,362.714000,100.000000,110527.200000,10120390.000000,0.000000
3.244471,1,NONE,362.221300,100.000000,110527.200000,10120390.000000,0.000000
3.247249,1,NONE,361.788900,100.000000,110527.200000,10120390.000000,0.000000
3.250027,1,NONE,361.442700,100.000000,110527.200000,10120390.000000,0.000000
3.252805,1,NONE,361.216900,100.000000,110527.200000,10120390.000000,0.000000
3.255583,1,NONE,361.097000,100.000000,110527.200000,10120390.000000,0.000000
3.258360,1,NONE,361.095800,100.000000,110527.200000,10120390.000000,0.000000
3.261138,1,NONE,361.199300,100.000000,110527.200000,10120390.000000,0.000000
3.263916,1,NONE,361.395000,100.000000,110527.200000,10120390.000000,0.000000
3.266694,1,NONE,361.671400,100.000000,110527.200000,10120390.000000,0.000000
3.269472,1,NONE,362.012700,100.000000,110527.200000,10120390.000000,0.000000
