attempt_index,time_hr,converged,volume_residual_ft3,energy_residual_btu,failure_reason,pattern,iterations,phase_fraction,bubble_phase
156,8.263661,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
157,8.266439,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
158,8.269217,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
159,8.271996,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
160,8.274774,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
161,8.277552,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
162,8.280330,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
163,8.283108,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
164,8.285886,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
165,8.288664,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
166,8.291442,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
167,8.294220,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
168,8.296998,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
169,8.299776,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
170,8.302554,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
171,8.305332,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
172,8.308110,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
173,8.310888,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
174,8.313666,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
175,8.316444,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
176,8.319222,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
177,8.322001,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
178,8.324779,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
179,8.327557,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
180,8.330335,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
181,8.333113,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
182,8.335891,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
183,8.338669,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
184,8.341447,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
185,8.344225,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
186,8.347003,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
187,8.349781,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
188,8.352559,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
189,8.355337,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
190,8.358115,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
191,8.360893,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
192,8.363671,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
193,8.366449,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
194,8.369227,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
195,8.372005,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
196,8.374784,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
197,8.377562,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
198,8.380340,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
199,8.383118,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
200,8.385896,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
201,8.388674,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
202,8.391452,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
203,8.394230,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
204,8.397008,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
205,8.399786,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
206,8.402564,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
207,8.405342,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
208,8.408120,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
209,8.410898,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
210,8.413676,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
211,8.416454,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
212,8.419232,0,5.084961,438288.000000,NO_VOLUME_BRACKET,NO_BRACKET,0,0.000000,DRAIN
